1.47,0,2.56214,3.90894e-05
1.48,0,2.376,3.9327e-05
1.49,0,2.18837,3.95459e-05
1.5,0,2,3.97459e-05
1.51,0,1.81163,3.9927e-05
1.52,0,1.624,4.00894e-05
1.53,0,1.43786,4.02332e-05
1.54,0,1.25393,4.03586e-05
1.55,0,1.07295,4.04659e-05
1.56,0,0.895626,4.05554e-05
1.57,0,0.722662,4.06277e-05
1.58,0,0.554739,4.06832e-05
1.59,0,0.39252,4.07224e-05
1.6,0,0.236644,4.07461e-05
1.61,0,0.087728,4.07548e-05
1.62,0,-0.0536413,4.07495e-05
1.63,0,-0.186906,4.07308e-05
1.64,0,-0.31154,4.06996e-05
1.65,0,-0.427051,4.06569e-05
1.66,0,-0.532984,4.06036e-05
1.67,0,-0.62892,4.05407e-05
1.68,0,-0.714481,4.04693e-05
1.69,0,-0.789329,4.03903e-05
1.7,0,-0.85317,4.0305e-05
1.71,0,-0.905749,4.02144e-05
1.72,0,-0.946862,4.01197e-05
1.73,0,-0.976344,4.00221e-05
1.74,0,-0.99408,3.99227e-05
1.75,0,-1,3.98227e-05
1.76,0,-0.99408,3.97233e-05
1.77,0,-0.976344,3.96256e-05
1.78,0,-0.946862,3.95309e-05
1.79,0,-0.905749,3.94404e-05
1.8,0,-0.85317,3.9355e-05
1.81,0,-0.789329,3.92761e-05
1.82,0,-0.714481,3.92046e-05
1.83,0,-0.62892,3.91417e-05
1.84,0,-0.532984,3.90884e-05
1.85,0,-0.427051,3.90457e-05
1.86,0,-0.31154,3.90146e-05
1.87,0,-0.186906,3.89959e-05
1.88,0,-0.0536413,3.89905e-05
1.89,0,0.087728,3.89993e-05
1.9,0,0.236644,3.90229e-05
1.91,0,0.39252,3.90622e-05
1.92,0,0.554739,3.91177e-05
1.93,0,0.722662,3.91899e-05
1.94,0,0.895626,3.92795e-05
1.95,0,1.07295,3.93868e-05
1.96,0,1.25393,3.95122e-05
1.97,0,1.43786,3.96559e-05
1.98,0,1.624,3.98183e-05
1.99,0,1.81163,3.99995e-05
2,0,2,4.01995e-05
2.01,0,2.18837,4.04183e-05
2.02,0,2.376,4.06559e-05
2.03,0,2.56214,4.09121e-05
2.04,0,2.74607,4.11867e-05
2.05,0,2.92705,4.14794e-05
2.06,0,3.10437,4.17899e-05
2.07,0,3.27734,4.21176e-05
2.08,0,3.44526,4.24621e-05
2.09,0,3.60748,4.28229e-05
2.1,0,3.76336,4.31992e-05
2.11,0,3.91227,4.35904e-05
2.12,0,4.05364,4.39958e-05
2.13,0,4.18691,4.44145e-05
2.14,0,4.31154,4.48456e-05
2.15,0,4.42705,4.52883e-05
2.16,0,4.53298,4.57416e-05
2.17,0,4.62892,4.62045e-05
2.18,0,4.71448,4.66759e-05
2.19,0,4.78933,4.71549e-05
2.2,0,4.85317,4.76402e-05
2.21,0,4.90575,4.81308e-05
