C1, R1, V1
1.23,0.000497631, -0.000497631, -0.000497631
1.24,0.000499405, -0.000499405, -0.000499405
1.25,0.000499997, -0.000499997, -0.000499997
1.26,0.000499405, -0.000499405, -0.000499405
1.27,0.000497631, -0.000497631, -0.000497631
1.28,0.000494683, -0.000494683, -0.000494683
1.29,0.000490572, -0.000490572, -0.000490572
1.3,0.000485314, -0.000485314, -0.000485314
1.31,0.00047893, -0.00047893, -0.00047893
1.32,0.000471445, -0.000471445, -0.000471445
1.33,0.000462889, -0.000462889, -0.000462889
1.34,0.000453295, -0.000453295, -0.000453295
1.35,0.000442702, -0.000442702, -0.000442702
1.36,0.00043115, -0.00043115, -0.00043115
1.37,0.000418687, -0.000418687, -0.000418687
1.38,0.000405361, -0.000405361, -0.000405361
1.39,0.000391224, -0.000391224, -0.000391224
1.4,0.000376332, -0.000376332, -0.000376332
1.41,0.000360744, -0.000360744, -0.000360744
1.42,0.000344522, -0.000344522, -0.000344522
1.43,0.00032773, -0.00032773, -0.00032773
1.44,0.000310434, -0.000310434, -0.000310434
1.45,0.000292701, -0.000292701, -0.000292701
1.46,0.000274603, -0.000274603, -0.000274603
1.47,0.00025621, -0.00025621, -0.00025621
1.48,0.000237596, -0.000237596, -0.000237596
1.49,0.000218833, -0.000218833, -0.000218833
1.5,0.000199996, -0.000199996, -0.000199996
1.51,0.000181159, -0.000181159, -0.000181159
1.52,0.000162396, -0.000162396, -0.000162396
1.53,0.000143782, -0.000143782, -0.000143782
1.54,0.000125389, -0.000125389, -0.000125389
1.55,0.000107291, -0.000107291, -0.000107291
1.56,8.95586e-05, -8.95586e-05, -8.95586e-05
1.57,7.22621e-05, -7.22621e-05, -7.22621e-05
1.58,5.54698e-05, -5.54698e-05, -5.54698e-05
1.59,3.92479e-05, -3.92479e-05, -3.92479e-05
1.6,2.36603e-05, -2.36603e-05, -2.36603e-05
1.61,8.76873e-06, -8.76873e-06, -8.76873e-06
1.62,-5.36821e-06, 5.36821e-06, 5.36821e-06
1.63,-1.86947e-05, 1.86947e-05, 1.86947e-05
1.64,-3.1158e-05, 3.1158e-05, 3.1158e-05
1.65,-4.27092e-05, 4.27092e-05, 4.27092e-05
1.66,-5.33024e-05, 5.33024e-05, 5.33024e-05
1.67,-6.28961e-05, 6.28961e-05, 6.28961e-05
1.68,-7.14522e-05, 7.14522e-05, 7.14522e-05
1.69,-7.8937e-05, 7.8937e-05, 7.8937e-05
1.7,-8.5321e-05, 8.5321e-05, 8.5321e-05
1.71,-9.0579e-05, 9.0579e-05, 9.0579e-05
1.72,-9.46902e-05, 9.46902e-05, 9.46902e-05
1.73,-9.76384e-05, 9.76384e-05, 9.76384e-05
1.74,-9.9412e-05, 9.9412e-05, 9.9412e-05
1.75,-0.000100004, 0.000100004, 0.000100004
1.76,-9.9412e-05, 9.9412e-05, 9.9412e-05
1.77,-9.76384e-05, 9.76384e-05, 9.76384e-05
1.78,-9.46901e-05, 9.46901e-05, 9.46901e-05
1.79,-9.05789e-05, 9.05789e-05, 9.05789e-05
1.8,-8.53209e-05, 8.53209e-05, 8.53209e-05
1.81,-7.89369e-05, 7.89369e-05, 7.89369e-05
1.82,-7.1452e-05, 7.1452e-05, 7.1452e-05
1.83,-6.28959e-05, 6.28959e-05, 6.28959e-05
1.84,-5.33023e-05, 5.33023e-05, 5.33023e-05
1.85,-4.2709e-05, 4.2709e-05, 4.2709e-05
1.86,-3.11579e-05, 3.11579e-05, 3.11579e-05
1.87,-1.86945e-05, 1.86945e-05, 1.86945e-05
1.88,-5.36803e-06, 5.36803e-06, 5.36803e-06
1.89,8.7689e-06, -8.7689e-06, -8.7689e-06
1.9,2.36605e-05, -2.36605e-05, -2.36605e-05
1.91,3.92481e-05, -3.92481e-05, -3.92481e-05
1.92,5.547e-05, -5.547e-05, -5.547e-05
1.93,7.22623e-05, -7.22623e-05, -7.22623e-05
1.94,8.95587e-05, -8.95587e-05, -8.95587e-05
1.95,0.000107291, -0.000107291, -0.000107291
1.96,0.000125389, -0.000125389, -0.000125389
1.97,0.000143782, -0.000143782, -0.000143782
1.98,0.000162396, -0.000162396, -0.000162396
1.99,0.000181159, -0.000181159, -0.000181159
2,0.000199996, -0.000199996, -0.000199996
2.01,0.000218833, -0.000218833, -0.000218833
2.02,0.000237596, -0.000237596, -0.000237596
2.03,0.00025621, -0.00025621, -0.00025621
2.04,0.000274603, -0.000274603, -0.000274603
2.05,0.000292701, -0.000292701, -0.000292701
2.06,0.000310433, -0.000310433, -0.000310433
2.07,0.00032773, -0.00032773, -0.00032773
2.08,0.000344522, -0.000344522, -0.000344522
2.09,0.000360744, -0.000360744, -0.000360744
2.1,0.000376331, -0.000376331, -0.000376331
2.11,0.000391223, -0.000391223, -0.000391223
2.12,0.00040536, -0.00040536, -0.00040536
2.13,0.000418686, -0.000418686, -0.000418686
2.14,0.000431149, -0.000431149, -0.000431149
2.15,0.000442701, -0.000442701, -0.000442701
2.16,0.000453294, -0.000453294, -0.000453294
2.17,0.000462887, -0.000462887, -0.000462887
2.18,0.000471443, -0.000471443, -0.000471443
2.19,0.000478928, -0.000478928, -0.000478928
2.2,0.000485312, -0.000485312, -0.000485312
2.21,0.00049057, -0.00049057, -0.00049057
2.22,0.000494681, -0.000494681, -0.000494681
2.23,0.000497629, -0.000497629, -0.000497629
2.24,0.000499403, -0.000499403, -0.000499403
2.25,0.000499995, -0.000499995, -0.000499995
2.26,0.000499403, -0.000499403, -0.000499403
2.27,0.000497629, -0.000497629, -0.000497629
2.28,0.000494681, -0.000494681, -0.000494681
2.29,0.00049057, -0.00049057, -0.00049057
2.3,0.000485312, -0.000485312, -0.000485312
2.31,0.000478928, -0.000478928, -0.000478928
2.32,0.000471443, -0.000471443, -0.000471443
2.33,0.000462887, -0.000462887, -0.000462887
2.34,0.000453293, -0.000453293, -0.000453293
2.35,0.0004427, -0.0004427, -0.0004427
2.36,0.000431148, -0.000431148, -0.000431148
2.37,0.000418685, -0.000418685, -0.000418685
2.38,0.000405359, -0.000405359, -0.000405359
2.39,0.000391222, -0.000391222, -0.000391222
2.4,0.00037633, -0.00037633, -0.00037633
2.41,0.000360742, -0.000360742, -0.000360742
2.42,0.00034452, -0.00034452, -0.00034452
2.43,0.000327728, -0.000327728, -0.000327728
2.44,0.000310432, -0.000310432, -0.000310432
2.45,0.000292699, -0.000292699, -0.000292699
2.46,0.000274601, -0.000274601, -0.000274601
2.47,0.000256208, -0.000256208, -0.000256208
2.48,0.000237594, -0.000237594, -0.000237594
2.49,0.000218831, -0.000218831, -0.000218831
2.5,0.000199994, -0.000199994, -0.000199994
2.51,0.000181157, -0.000181157, -0.000181157
2.52,0.000162394, -0.000162394, -0.000162394
2.53,0.00014378, -0.00014378, -0.00014378
2.54,0.000125387, -0.000125387, -0.000125387
2.55,0.000107289, -0.000107289, -0.000107289
2.56,8.95566e-05, -8.95566e-05, -8.95566e-05
2.57,7.22601e-05, -7.22601e-05, -7.22601e-05
2.58,5.54678e-05, -5.54678e-05, -5.54678e-05
2.59,3.92459e-05, -3.92459e-05, -3.92459e-05
2.6,2.36583e-05, -2.36583e-05, -2.36583e-05
2.61,8.76673e-06, -8.76673e-06, -8.76673e-06
2.62,-5.37021e-06, 5.37021e-06, 5.37021e-06
2.63,-1.86967e-05, 1.86967e-05, 1.86967e-05
2.64,-3.116e-05, 3.116e-05, 3.116e-05
2.65,-4.27112e-05, 4.27112e-05, 4.27112e-05
2.66,-5.33044e-05, 5.33044e-05, 5.33044e-05
2.67,-6.28981e-05, 6.28981e-05, 6.28981e-05
2.68,-7.14542e-05, 7.14542e-05, 7.14542e-05
2.69,-7.8939e-05, 7.8939e-05, 7.8939e-05
2.7,-8.5323e-05, 8.5323e-05, 8.5323e-05
2.71,-9.0581e-05, 9.0581e-05, 9.0581e-05
2.72,-9.46922e-05, 9.46922e-05, 9.46922e-05
2.73,-9.76404e-05, 9.76404e-05, 9.76404e-05
2.74,-9.9414e-05, 9.9414e-05, 9.9414e-05
2.75,-0.000100006, 0.000100006, 0.000100006
2.76,-9.9414e-05, 9.9414e-05, 9.9414e-05
2.77,-9.76404e-05, 9.76404e-05, 9.76404e-05
2.78,-9.46921e-05, 9.46921e-05, 9.46921e-05
2.79,-9.05809e-05, 9.05809e-05, 9.05809e-05
2.8,-8.53229e-05, 8.53229e-05, 8.53229e-05
2.81,-7.89389e-05, 7.89389e-05, 7.89389e-05
2.82,-7.1454e-05, 7.1454e-05, 7.1454e-05
2.83,-6.28979e-05, 6.28979e-05, 6.28979e-05
2.84,-5.33043e-05, 5.33043e-05, 5.33043e-05
2.85,-4.2711e-05, 4.2711e-05, 4.2711e-05
2.86,-3.11599e-05, 3.11599e-05, 3.11599e-05
2.87,-1.86965e-05, 1.86965e-05, 1.86965e-05
2.88,-5.37003e-06, 5.37003e-06, 5.37003e-06
2.89,8.7669e-06, -8.7669e-06, -8.7669e-06
2.9,2.36585e-05, -2.36585e-05, -2.36585e-05
2.91,3.92461e-05, -3.92461e-05, -3.92461e-05
2.92,5.5468e-05, -5.5468e-05, -5.5468e-05
2.93,7.22603e-05, -7.22603e-05, -7.22603e-05
2.94,8.95567e-05, -8.95567e-05, -8.95567e-05
2.95,0.000107289, -0.000107289, -0.000107289
2.96,0.000125387, -0.000125387, -0.000125387
2.97,0.00014378, -0.00014378, -0.00014378
2.98,0.000162394, -0.000162394, -0.000162394
2.99,0.000181157, -0.000181157, -0.000181157
3,0.000199994, -0.000199994, -0.000199994
